SerialNumber, acc: x_acc, y_acc, z_acc, gyro: x_value, y_value, z_value
71, 1514, -0.06, -0.01, 0.97
72, 1535, -0.07, -0.02, 1.01
73, 1555, 0.06, -0.03, 0.97
74, 1575, -0.05, 0.04, 0.96
75, 1596, -0.08, 0.02, 0.97
76, 1616, -0.07, 0.01, 0.97
77, 1636, -0.03, -0.00, 0.99
78, 1657, 0.01, 0.02, 0.98
79, 1677, -0.03, 0.01, 0.95
80, 1697, -0.04, 0.02, 0.97
81, 1718, -0.05, 0.04, 0.98
82, 1738, -0.08, -0.05, 1.02
83, 1758, -0.11, 0.01, 0.99
84, 1779, -0.10, -0.05, 0.97
85, 1799, -0.07, -0.01, 1.01
86, 1821, -0.02, 0.00, 1.00
87, 1841, -0.01, 0.00, 1.01
88, 1862, -0.02, -0.01, 1.00
89, 1882, -0.01, -0.00, 1.00
90, 1903, -0.06, 0.02, 1.01
91, 1923, -0.13, 0.03, 0.99
92, 1943, -0.13, 0.02, 0.95
93, 1964, 0.04, -0.01, 0.97
94, 1984, 0.19, -0.01, 0.99
95, 2004, 0.15, -0.01, 0.98
96, 2024, 0.04, -0.01, 0.98
97, 2045, -0.02, -0.00, 1.00
98, 2065, -0.02, 0.02, 1.02
99, 2086, 0.01, 0.00, 1.00
100, 2106, -0.00, -0.03, 0.99
101, 2126, -0.02, -0.02, 0.94
102, 2147, 0.00, -0.00, 0.95
103, 2167, 0.03, -0.01, 1.01
104, 2189, 0.01, 0.00, 0.99
105, 2209, 0.04, -0.05, 1.01
106, 2230, 0.00, -0.01, 0.98
107, 2250, -0.01, -0.03, 0.99
108, 2270, 0.03, -0.02, 1.10
109, 2291, -0.04, 0.01, 1.11
110, 2311, -0.23, -0.01, 1.08
111, 2332, -0.50, -0.07, 0.96
112, 2352, -0.51, -0.10, 0.83
113, 2372, -0.27, -0.03, 0.78
114, 2393, -0.16, 0.02, 0.82
115, 2413, -0.26, -0.01, 0.94
116, 2433, -0.32, -0.07, 1.03
117, 2454, -0.24, -0.04, 1.02
118, 2474, -0.03, -0.04, 1.01
119, 2494, 0.01, 0.01, 0.96
120, 2515, -0.09, -0.02, 1.00
121, 2537, -0.16, -0.04, 1.04
122, 2557, -0.15, -0.03, 1.15
123, 2578, -0.09, -0.02, 1.01
124, 2598, -0.08, -0.02, 1.01
125, 2618, -0.11, -0.03, 1.03
126, 2639, -0.19, -0.07, 1.07
127, 2659, -0.18, -0.02, 1.12
128, 2679, -0.02, 0.06, 1.09
129, 2700, -0.08, 0.08, 1.12
130, 2720, 0.07, 0.17, 1.16
131, 2741, 0.23, 0.19, 1.08
132, 2761, 0.13, 0.29, 1.13
133, 2781, 0.13, 0.43, 1.06
134, 2802, 0.15, 0.48, 0.82
135, 2822, 0.08, 0.52, 0.69
136, 2842, 0.20, 0.57, 0.62
137, 2863, 0.16, 0.63, 0.80
138, 2885, 0.74, 0.79, 1.01
139, 2905, 0.47, 0.42, 1.34
140, 2926, -0.54, -0.18, 0.98
141, 2946, -1.20, -0.07, 0.28
142, 2966, -1.22, -0.38, -0.20
143, 2987, -0.72, -0.52, 0.18
144, 3007, -0.47, -0.50, 0.51
145, 3027, -0.54, -0.57, 0.59
146, 3048, -0.84, -0.52, 0.49
147, 3068, -0.93, -0.78, 0.41
148, 3088, -0.65, -0.90, 0.61
149, 3109, -0.38, -1.02, 0.83
150, 3129, 0.01, -1.07, 1.15
151, 3150, 0.38, -0.66, 0.79
152, 3170, 0.14, -0.14, 0.51
153, 3190, -0.22, 0.36, 0.49
154, 3211, -0.77, 0.76, 0.52
155, 3233, -0.61, 0.23, 1.07
156, 3253, 0.21, 0.14, 1.00
157, 3273, 0.27, -0.15, 0.67
158, 3294, 0.10, -0.25, 1.44
159, 3314, -0.19, -0.25, 1.01
160, 3334, -0.30, 0.04, 0.23
161, 3355, 0.98, 0.99, 1.28
162, 3375, -0.17, 0.42, 0.79
163, 3396, -0.07, -0.31, 0.68
164, 3416, -0.36, -0.21, 0.37
165, 3436, -0.77, -0.07, 0.94
166, 3457, -0.53, 0.23, 1.19
167, 3477, -0.29, 0.32, 0.79
168, 3498, -0.30, 0.01, 0.85
169, 3518, -0.43, -0.26, 0.91
170, 3539, -0.48, -0.19, 0.90
171, 3561, -0.36, 0.12, 0.92
172, 3581, -0.16, 0.12, 0.93
173, 3602, -0.09, 0.01, 0.92
174, 3622, -0.09, -0.04, 0.88
175, 3643, 0.01, -0.05, 0.95
176, 3663, 0.06, 0.00, 1.10
177, 3684, 0.17, 0.03, 1.17
178, 3704, 0.33, -0.02, 1.17
179, 3724, 0.20, -0.06, 1.22
